Proteome ID	Organism	Organism ID	Last modified
UP000001940	Caenorhabditis elegans	6239	2015-04-01
UP000000803	Drosophila melanogaster (Fruit fly)	7227	2015-04-01
UP000005640	Homo sapiens (Human)	9606	2015-04-01
UP000000589	Mus musculus (Mouse)	10090	2015-04-01
UP000000819	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	284813	2015-04-01
UP000002485	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	284812	2015-04-01
UP000001542	Trichomonas vaginalis	5722	2015-04-01
UP000002488	Giardia intestinalis (strain ATCC 50581 / GS clone H7) (Giardia lamblia)	598745	2014-10-22
UP000002489	Fusarium oxysporum (strain Fo5176) (Fusarium vascular wilt)	660025	2015-04-01
UP000001881	Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell)	771870	2015-04-01
UP000001396	Polysphondylium pallidum (Cellular slime mold)	13642	2014-10-15
UP000002494	Rattus norvegicus (Rat)	10116	2015-04-01
UP000018001	Byssochlamys spectabilis (strain No. 5 / NBRC 109023) (Paecilomyces variotii)	1356009	2014-10-15
UP000002630	Ectocarpus siliculosus (Brown alga)	2880	2015-04-01
UP000001640	Naumovozyma castellii (strain ATCC 76901 / CBS 4309 / NBRC 1992 / NRRL Y-12630) (Yeast) (Saccharomyces castellii)	1064592	2015-04-01
UP000018040	Giardia intestinalis (Giardia lamblia)	5741	2014-10-23
UP000018050	Eimeria acervulina (Coccidian parasite)	5801	2014-10-23
UP000001073	Nomascus leucogenys (Northern white-cheeked gibbon) (Hylobates leucogenys)	61853	2015-04-01
UP000002624	Ajellomyces capsulatus (strain H143) (Darling's disease fungus) (Histoplasma capsulatum)	544712	2014-12-11
UP000005206	Nectria haematococca (strain 77-13-4 / ATCC MYA-4622 / FGSC 9596 / MPVI) (Fusarium solani subsp. pisi)	660122	2014-10-15
UP000001646	Anolis carolinensis (Green anole) (American chameleon)	28377	2015-04-01
UP000001074	Myotis lucifugus (Little brown bat)	59463	2015-04-01
UP000000702	Trypanosoma congolense (strain IL3000)	1068625	2015-04-01
UP000000286	Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) (Baker's yeast)	643680	2015-04-01
UP000000689	Naumovozyma dairenensis (strain ATCC 10597 / BCRC 20456 / CBS 421 / NBRC 0211 / NRRL Y-12639) (Saccharomyces dairenensis)	1071378	2015-04-01
UP000001645	Meleagris gallopavo (Common turkey)	9103	2015-04-01
UP000017900	Ascaris suum (Pig roundworm) (Ascaris lumbricoides)	6253	2014-10-15
UP000001449	Thalassiosira pseudonana (Marine diatom) (Cyclotella nana)	35128	2015-04-01
UP000001450	Plasmodium falciparum (isolate 3D7)	36329	2015-04-01
UP000001519	Gorilla gorilla gorilla (Western lowland gorilla)	9595	2015-04-01
UP000001926	Entamoeba histolytica	5759	2015-04-01
UP000008076	Entamoeba dispar (strain ATCC PRA-260 / SAW760)	370354	2014-10-15
UP000008281	Caenorhabditis remanei (Caenorhabditis vulgaris)	31234	2015-04-01
UP000006039	Gaeumannomyces graminis var. tritici (strain R3-111a-1) (Wheat and barley take-all root rot fungus)	644352	2015-04-01
UP000006038	Oryza brachyantha	4533	2015-04-01
UP000017836	Amborella trichopoda	13333	2015-04-01
UP000001307	Oikopleura dioica (Tunicate)	34765	2014-10-22
UP000032141	Brassica oleracea var. oleracea	109376	2015-03-18
UP000001075	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	10029	2015-04-01
UP000001811	Oryctolagus cuniculus (Rabbit)	9986	2015-04-01
UP000008225	Callithrix jacchus (White-tufted-ear marmoset)	9483	2015-04-01
UP000008227	Sus scrofa (Pig)	9823	2015-04-01
UP000008311	Ricinus communis (Castor bean)	3988	2014-10-15
UP000005240	Puccinia triticina (isolate 1-1 / race 1 (BBBD)) (Brown leaf rust fungus)	630390	2015-04-01
UP000008744	Drosophila persimilis (Fruit fly)	7234	2014-10-22
UP000008743	Capsaspora owczarzaki (strain ATCC 30864)	595528	2015-03-15
UP000000707	Candida tenuis (strain ATCC 10573 / BCRC 21748 / CBS 615 / JCM 9827 / NBRC 10315 / NRRL Y-1498 / VKM Y-70) (Yeast)	590646	2014-10-15
UP000008694	Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress)	81972	2014-12-30
UP000000709	Spathaspora passalidarum (strain NRRL Y-27907 / 11-Y1)	619300	2014-10-15
UP000008698	Verticillium alfalfae (strain VaMs.102 / ATCC MYA-4576 / FGSC 10136) (Verticillium wilt of alfalfa) (Verticillium albo-atrum)	526221	2014-10-15
UP000008912	Ailuropoda melanoleuca (Giant panda)	9646	2015-04-01
UP000009168	Tetrahymena thermophila (strain SB210)	312017	2014-10-15
UP000000591	Ashbya gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) (Yeast) (Eremothecium gossypii)	284811	2015-04-01
UP000009169	Trichophyton equinum (strain ATCC MYA-4606 / CBS 127.97) (Horse ringworm fungus)	559882	2014-10-15
UP000009172	Trichophyton tonsurans (strain CBS 112818) (Scalp ringworm fungus)	647933	2014-10-15
UP000006853	Komagataella pastoris (strain ATCC 76273 / CBS 7435 / CECT 11047 / NRRL Y-11430 / Wegner 21-1) (Yeast) (Pichia pastoris)	981350	2015-04-01
UP000001072	Melampsora larici-populina (strain 98AG31 / pathotype 3-4-7) (Poplar leaf rust fungus)	747676	2014-10-15
UP000006671	Naegleria gruberi (Amoeba)	5762	2014-10-15
UP000002356	Ovis aries (Sheep)	9940	2015-04-01
UP000013827	Emiliania huxleyi CCMP1516	280463	2015-01-21
UP000001064	Dictyostelium purpureum (Slime mold)	5786	2014-10-22
UP000007754	Taeniopygia guttata (Zebra finch) (Poephila guttata)	59729	2015-04-01
UP000007755	Acromyrmex echinatior (Panamanian leafcutter ant) (Acromyrmex octospinosus echinatior)	103372	2014-10-15
UP000000305	Daphnia pulex (Water flea)	6669	2015-04-01
UP000007241	Batrachochytrium dendrobatidis (strain JAM81 / FGSC 10211) (Frog chytrid fungus)	684364	2014-10-15
UP000008312	Blastocystis hominis	12968	2014-10-15
UP000007236	Saccharomyces cerevisiae (strain Lalvin QA23) (Baker's yeast)	764098	2014-10-15
UP000000307	Saccharomyces cerevisiae (strain VIN 13) (Baker's yeast)	764099	2015-04-01
UP000007237	Saccharomyces cerevisiae (strain FostersO) (Baker's yeast)	764101	2014-10-15
UP000000309	Saccharomyces cerevisiae (strain FostersB) (Baker's yeast)	764102	2015-04-01
